 duration: 28.323s, episode steps: 400, episode reward: 75.000
 duration: 27.499s, episode steps: 387, episode reward: 45.000
 duration: 58.642s, episode steps: 831, episode reward: 380.000
 duration: 57.978s, episode steps: 832, episode reward: 210.000
 duration: 68.877s, episode steps: 992, episode reward: 210.000
 duration: 84.142s, episode steps: 1229, episode reward: 500.000
 duration: 42.270s, episode steps: 614, episode reward: 135.000
 duration: 77.177s, episode steps: 1116, episode reward: 390.000
 duration: 44.637s, episode steps: 646, episode reward: 170.000
 duration: 34.900s, episode steps: 502, episode reward: 20.000
 duration: 57.720s, episode steps: 858, episode reward: 210.000
 duration: 24.132s, episode steps: 360, episode reward: 100.000
 duration: 20.003s, episode steps: 293, episode reward:  0.000
 duration: 51.350s, episode steps: 754, episode reward: 180.000
 duration: 60.293s, episode steps: 907, episode reward: 240.000
 duration: 64.304s, episode steps: 966, episode reward: 215.000
 duration: 42.585s, episode steps: 642, episode reward: 155.000
 duration: 63.980s, episode steps: 958, episode reward: 295.000
 duration: 42.919s, episode steps: 647, episode reward: 120.000
 duration: 42.408s, episode steps: 633, episode reward: 135.000
 duration: 26.273s, episode steps: 392, episode reward: 45.000
 duration: 94.111s, episode steps: 1426, episode reward: 815.000
 duration: 35.236s, episode steps: 532, episode reward: 45.000
 duration: 74.110s, episode steps: 1108, episode reward: 185.000
 duration: 39.128s, episode steps: 588, episode reward: 110.000
 duration: 68.816s, episode steps: 1039, episode reward: 250.000
 duration: 26.190s, episode steps: 397, episode reward: 75.000
 duration: 23.484s, episode steps: 350, episode reward: 80.000
 duration: 41.768s, episode steps: 623, episode reward: 110.000
 duration: 40.780s, episode steps: 623, episode reward: 225.000
 duration: 51.837s, episode steps: 779, episode reward: 145.000
 duration: 33.492s, episode steps: 490, episode reward: 55.000
 duration: 36.299s, episode steps: 524, episode reward: 55.000
 duration: 54.141s, episode steps: 816, episode reward: 220.000
 duration: 41.329s, episode steps: 628, episode reward: 130.000
 duration: 60.180s, episode steps: 920, episode reward: 280.000
 duration: 40.827s, episode steps: 630, episode reward: 150.000
 duration: 50.516s, episode steps: 773, episode reward: 190.000
 duration: 49.726s, episode steps: 769, episode reward: 395.000
